Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,598535,3795.4314,477,12.857,44156,4.25
0nDHC-5Z5O0,"Поступок, который спас жизнь бездомному","Jul 1, 2025",44,354581,2192.0568,250,4.978,658,1.06
wsRrXdNc7EY,Напряжение между Россией и Азербайджаном наростает,"Jul 1, 2025",50,64886,454.544,14,2.184,3536,3.68
M45Cp6m-FeU,Охота на Азербайджанцев в России началась🤯,"Jul 2, 2025",52,29115,233.0549,19,0.98,318,8.81
X8UrGMy1ZAM,ОН ПИЛ ВОДУ 60 ЧАСОВ ПОДРЯД,"Jul 1, 2025",35,24526,147.3452,181,0.616,502,2.99
CzwZygCARD4,СПАС ЖИЗНЬ СВОЕМУ БРАТУ,"Jul 1, 2025",32,23464,126.5109,31,0.599,273,2.56
RuRhAtik0bY,"Сдержал слово, которое дал покойной жене","Jul 2, 2025",45,21593,168.9619,35,0.769,401,1
KrceGd5tLsA,Дружба Мальчика и Обезьян удивила весь мир!,"Jul 2, 2025",47,20638,171.0994,34,0.831,477,4.82
w_Wx8PWawX4,"В сети хайпанул пёс, который подружился с вором, обносившим его дом.","Jun 30, 2025",24,13353,49.7541,4,0.431,381,3.94
O5Rx-I2yOtQ,Почему ситуация между Россией и Азербайджаном стала опасной?,"Jul 2, 2025",58,12441,92.6412,12,0.357,6925,5.27
3yiHDA3APqc,Что происходит между Россией и Азербайджаном сейчас?,"Jun 30, 2025",46,6112,34.7409,3,0.183,2876,4.45
63VOGBdL4Xg,"ОБМАН ЗРЕНИЯ, который вас удивит","Jun 30, 2025",6,5321,6.6514,0,0.09,148,0.68
xBOTxuM3bfg,Договорняк неизбежен  Анализ ситуации в Украине,"May 13, 2025",13,4479,8.5493,0,0.1,216,0.93
fmYiWVgooJw,ОН ВЫЖИЛ В АВИАКАТАСТРОФЕ,"Jul 1, 2025",38,3641,16.4349,1,0.105,278,1.44
1EtZLbsuNbI,ПОЧЕМУ ТИКТОК НАЧАЛ ПЛАТИТЬ ЗА ПРОСМОТРЫ В 2024 ГОДУ?,"Sep 5, 2024",47,3623,21.4337,4,0.133,18331,5.36
V3cJca8Qu9I,БРИТАНСКИЕ ВЛАСТИ ОБДЕЛАЛИСЬ (чуть-чуть),"Jun 30, 2025",22,1464,3.7355,1,0.051,184,1.09
C-yfIetHNWg,"Переговоры Украины и России, Трамп в Стамбуле, Сценарии","May 13, 2025",95,1431,12.9051,0,0.052,184,0
diEsoksmuqw,НОВАЯ ОПАСНАЯ ИГРА СРЕДИ ПОДРОСТКОВ,"Jun 30, 2025",68,1301,10.1251,0,0.039,131,3.05
yfFIJP_KK0k,До появления будильников - как люди просыпались?,"Jul 7, 2025",24,1097,4.4225,0,,11,0
zVvaG4fpbzc,"""Майдан"" в Сербии! Студенты вышли на улицу. Что происходит?","Jun 30, 2025",62,1021,5.6862,0,0.03,365,3.29
 -HIToiQlv54,Переговоры России и Украины  Эрдоган Сводит Трампа и Путина,"May 13, 2025",33,944,3.0049,1,0.022,252,0.4
dFbarn317Mw,"Трамп, Россия, Украина - Сговор? Что происходит?","May 13, 2025",29,839,3.0803,0,0.029,200,0
K7u1YST3vs0,"Он спас ребенка, когда никто не мог этого сделать","Jul 7, 2025",46,732,4.0916,1,,13,7.69
fSpjQa6NseA,"Этот парень построил дом, который всё делает за него!","Jul 7, 2025",55,727,5.1852,,,7,0
ohfAFobI_lU,КАК ЗАРАБОТАТЬ НА МОНЕТИЗАЦИИ ТИКТОК? | Заработок денег в интернете 2024,"Aug 31, 2024",354,118,7.12,1,0.164,435,7.82
9wVE7sBxcg4,Обмен или Мир?  Реальная Цена Стабильности,"May 13, 2025",13,57,0.0773,0,0.001,260,2.69
j89f27yp0Us,ПОЧЕМУ МЕНЯ ВЫГНАЛИ ИЗ ДРИМ ТИМ | ВСЯ ПРАВДА ПРО ОБМАН ОТ БЫВШЕГО УЧАСТНИКА,"Aug 22, 2023",913,48,4.76,0,0.046,812,4.8
K2mSu5nuuYg,РЕАКЦИЯ НА ИНТЕРВЬЮ АРТУРА БАБИЧА ОТ БЫВШЕГО УЧАСТНИКА DREAM TEAM,"Sep 12, 2024",960,34,3.2417,0,0.033,485,6.39
aTLFK6DDTb4,НОВАЯ НЕЙРОСЕТЬ ОТ ИЛОНА МАСКА - Grok 3,"Feb 17, 2025",44,29,0.2039,0,0.001,234,0.85
YPLQOkBgmR8,МУЖ ЗАСТАЛ ЖЕНУ ЗА ИЗМЕНОЙ И РЕШИЛ ОТОМСТИТЬ 🤯,"Jan 30, 2025",94,27,0.1439,0,0.001,214,2.34
9gYjnbRXnOg,"Учёные выяснили что происходит после смерти🤯 Часть 1, Проду?🤯","Aug 25, 2024",61,24,0.177,0,0.001,125,3.2
QwrldXCq1K4,Война в Украине - Когда закончится?  Переговоры не за горами!,"May 13, 2025",20,24,0.0316,0,0,128,0.78
xDTa9dEUwHE,ЗЕЛЕНСКИЙ И ТРАМП: ПЕРЕПАЛКА и ССОРА В ПРЯМОМ ЭФИРЕ,"Feb 28, 2025",94,15,0.1601,0,0,118,0
PcPtFTq0ToA,ПЕРЕГОВОРЫ В СТАМБУЛЕ ИЗМЕНЯТ ВСЁ?,"May 13, 2025",249,10,0.0404,0,0.002,152,1.32
u8DprNQTzg0,ОН РЕШИЛ ИЗБАВИТЬСЯ ОТ ПРОБЛЕМНОЙ РОДИНКИ  🤯,"Jan 30, 2025",68,8,0.0946,0,0,48,2.08
4W6scAt4XsQ,ЭТА СОБАКА СТАЛА ИЗВЕСТНОЙ ВО ВСЕМ МИРЕ🤯,"Feb 5, 2025",61,7,0.062,0,0.001,74,0
qBizofDcS0Q,НЕУДАЧНАЯ ПАРКОВКА😁,"Feb 5, 2025",16,7,0.0204,0,0.001,85,0
x7t-c59Ts9A,Лучший косплей #shorts,"Aug 9, 2022",20,7,0.0182,0,0,54,5.56
BOLdSEwzVBI,ПОЧЕМУ ТИКТОК НАЧАЛ ПЛАТИТЬ ЗА ПРОСМОТРЫ В 2024 ГОДУ?🤯,"Sep 5, 2024",54,6,0.043,0,,32,6.25
E1Lcvxnh6ms,СЫН ГЕРОЯ: ПОЛИЦИЯ ГОРРДА ОТДАЕТ ЧЕСТЬ🤯,"Jan 29, 2025",40,6,0.0249,0,0,67,1.49
JTt1XX_WlPA,ПОСТУПОК ПОЛИЦЕЙСКОГО СДЕЛАЛ ЕГО ИЗВЕСТНЫМ ВО ВСЕМ МИРЕ,"Feb 3, 2025",35,6,0.0447,0,0.001,65,1.54
n6w7XMbGN7c,Разоблачение Dream Team,"Aug 22, 2023",30,6,0.027,0,0,38,2.63
1G5AJGoSi1A,СОЦИАЛЬНЫЙ ЭКСПЕРИМЕНТ УДИВИЛ ВЕСЬ МИР🤯,"Feb 3, 2025",44,5,0.0279,0,0,84,1.19
6UpZ2Iu4DtY,РЕАКЦИЯ КОШКИ УДИВИЛА ВЕСЬ МИР🤯,"Feb 5, 2025",51,5,0.0339,0,0,68,0
8-mNloyy7as,ПОДРОСТКИ УГНАЛИ МЕТРО🤯,"Jan 31, 2025",30,5,0.0274,0,0.001,50,0
B7BL-f8Gug0,УДИВИТЕЛЬНОЕ НАБЛЮДЕНИЕ🤯,"Jan 28, 2025",35,5,0.022,0,0,50,0
Dfx0-mQU5FQ,ПОЧЕМУ ТИКТОК НАЧАЛ ПЛАТИТЬ ЗА ПРОСМОТРЫ 2024,"Sep 6, 2024",45,5,0.0258,0,0,34,0
HFH4riVDCns,ВЕРИМ СИМСОНАМ?,"Feb 11, 2025",45,5,0.0187,0,0,88,0
QhlDS7rpbxc,ПОВЕДЕНИЕ МЕДВЕДЯ УДИВИЛО ВЕСЬ МИР🤯,"Jan 31, 2025",41,5,0.0373,0,0.001,55,0
htllQU34Fmo,ЕГО СМЕЛОСТЬ УДИВИЛА ВЕСЬ МИР🤯,"Jan 31, 2025",43,5,0.0253,0,0,52,0
kFG7TkxJ1hY,ОН НЕ ЗНАЛ О СВОИХ УДИВИТЕЛЬНЫХ СПОСОБНОСТЯХ 🤯,"Jan 30, 2025",137,5,0.0351,0,,49,0
tOYk5hQiCy8,ЭТО  ВИДЕО ИЗМЕНИТ ТВОЮ ЖИЗНЬ🤯,"Aug 31, 2024",17,5,0.0074,0,0,30,6.67
tYHa8prGYwM,Трамп стремится завершить войну в Украине к Пасхе?,"Feb 17, 2025",83,5,0.0096,0,0,115,0
uz1asxkFVOw,ПАРЕНЬ СИАЛ ГЕРОЕМ И ПРОСЛАВИЛСЯ НА ВЕСЬ МИР,"Feb 5, 2025",55,5,0.0591,0,0,74,0
8tmyAKUUC0I,Мальчик удивил весь мир🤯,"Jan 29, 2025",60,4,0.0343,0,0,39,0
9UCQ5kEudjo,ПЕРЕГОВОРЫ УЖЕ ЗАВТРА❗️#трамп #украина #россия,"Feb 17, 2025",37,4,0.0014,0,,92,0
Fn40QwLVbFQ,Этот сюрприз для курьера удивил весь мир🤯,"Feb 3, 2025",39,4,0.0214,0,0,75,0
JUHU8D0YzlU,ТРАМПА СЛИЛИ?,"Feb 17, 2025",44,4,0.0341,0,0,91,1.1
JtuwjqVC2Z0,Разоблачение Dream Team,"Aug 22, 2023",30,4,0.0108,0,,80,0
dD14CGhV7us,Её преображение шокировало весь мир🤯,"Jan 29, 2025",69,4,0.0367,0,0,36,0
wNRViBPa2j8,МАЛЬЧИК УДИВИЛ СЕМЬЮ И ВЕСЬ МИР🤯,"Jan 29, 2025",39,4,0.026,0,0,49,2.04
xZvQVyXCo9w,С МАЛЬЧИКОМ НАЧАЛИ ПРОИСХОДИТЬ УДИВИТЕЛЬНЫЕ ВЕЩИ 🤯,"Jan 30, 2025",77,4,0.0175,0,,39,0
 -HLkVxzBD38,Герой спас маленькую девочку в пробке🤯,"Jan 29, 2025",42,3,0.0084,0,0,49,0
3ks07IcWMbA,СОБАКА ИЗВИНИЛАСЬ ПЕРЕД ВЕТЕРИНАРОМ🤯,"Jan 28, 2025",33,3,0.019,0,0,34,2.94
6fc8liu6BCQ,"Он помог сопернику, хотя не должен был🤯","Jan 29, 2025",47,3,0.0127,0,,41,0
B3Zg4xVefOI,УНИКАЛЬНАЯ СОБАКА ЗАВИРУСИЛАСЬ В ИНТЕРНЕТЕ🤯,"Feb 3, 2025",38,3,0.0142,0,0,66,0
hlDe9wYW770,КИТАЙСКУЮ МАШИНУ РАЗОРВАЛИ В СНЕГУ🤯,"Jan 31, 2025",23,3,0.0144,0,0,50,0
lscvEZNfubs,"ОН РЕШИЛ УДОЧЕРИТЬ 3 ДЕВОЧЕК, ПРОДОЛЖЕНИЕ ШОКИРОВАЛО ВСЕХ!","Jan 30, 2025",61,3,0.0347,0,0,39,0
oL8OBfLAf9A,ОН СДЕЛАЕТ ТРАМПА ПРЕЗИДЕНТОМ🤯,"Oct 30, 2024",60,3,0.0166,0,,32,0
v5NHLGi2ZXE,Как вам такие «отношения»?🤯,"Feb 3, 2025",90,3,0.0374,0,0,57,0
vJju_BmIf9M,14 февраля изменится все?🤯,"Feb 5, 2025",45,3,0.0202,0,,84,0
wO_m0iOvNQk,ЭТО ПРОСТО НЕЧТО🤯,"Aug 29, 2024",57,3,0.0166,0,0,24,0
wYydNb231So,КИТАЕЦ ЗАРАБАТЫВАЕТ НА РУССКИХ СТУДЕНТКАХ,"Feb 3, 2025",59,3,0.0406,0,0,65,0
14r8QaGzYcA,Что произошло за последние 24 часа🤯,"Feb 5, 2025",99,2,0.0166,0,0,83,0
58Ruii0U0Lw,Муд #shorts,"Aug 9, 2022",10,2,0.0005,0,,9,0
7fW5LD8sQEE,КАК ПОБОРОТЬ ЛЕНЬ🤯,"Aug 29, 2023",32,2,0.0001,0,,5,0
A_vk8KS5XZM,Её преображение шокировало весь мир🤯,"Jan 29, 2025",67,2,0.0135,0,0,40,0
KMKTQDL3UCU,Продолжать эту историю?🤯,"Sep 7, 2024",58,2,0.0015,0,0,28,3.57
QEEBadUh5kM,С чего начать саморазвитие в 16 лет,"Sep 7, 2023",460,2,0.2523,0,0.005,140,0.71
QzpKsJx-t7g,ДОСМОТРИ ДО КОНЦА🤯,"Aug 27, 2024",60,2,0.0014,0,,13,0
Tvnk92laCLU,ЭКСТРЕМАЛ ПЕРЕНОЧЕВАЛ В ДЖУНГЛЯХ АМАЗОНКИ🤯,"Aug 28, 2024",35,2,0.001,0,,78,0
XADZmtZsjdg,ПЕРВЫЙ ТЕЛЕПОРТ В МИРЕ🤯,"Oct 31, 2024",60,2,0.0137,0,,32,3.13
YCkib9_bjag,ЕЩЁ ОДНА НЕВЕРОЯТНАЯ НЕЙРОСЕТЬ ОТ КИТАЙЦЕВ🤯,"Jan 30, 2025",54,2,0.012,0,,41,0
aGxqAVVw_ao,САМОЛЕТ ИСЧЕЗ НА 40 ЛЕТ И ВНЕЗАПНО ВЕРНУЛСЯ,"Jan 30, 2025",64,2,0.0021,0,,48,0
auYtNk_E4Ew,ПОЧЕМУ ТИКТОК НАЧАЛ ПЛАТИТЬ ЗА ПРОСМОТРЫ 2024,"Sep 6, 2024",56,2,0.0228,0,0,29,3.45
fLCMv0RzpcU,Как это работает? #shorts,"Aug 9, 2022",16,2,0.0001,0,,10,0
h53BCBh0CiA,ОЧЕРЕДНОЕ КРУШЕНИЕ САМОЛЕТА🤯,"Jan 30, 2025",55,2,0.0257,0,,41,2.44
l2XDO2UuXks,КАК ПОБОРОТЬ ЛЕНЬ🤯,"Aug 29, 2023",30,2,0.008,0,,6,0
rM9wVAcGHoo,Павел Дуров задержан во Франции🔥,"Aug 24, 2024",59,2,0.0144,0,0,35,0
tAoO_i78AWg,КАНЬЕ УЭСТ ЗНАЛ О ВЕЧЕРИНКАХ ПИ ДИДИ,"Sep 27, 2024",57,2,0.0026,0,,38,0
tndFHUjXgDw,Проду?🤯,"Aug 23, 2024",61,2,0.0177,0,0,26,0
u0SoUH3ME9c,ЭТА ИСТОРИЯ ПОРАЗИЛА ВЕСЬ МИР🤯,"Jan 31, 2025",54,2,0.0033,0,,48,0
u12cuHWQkuk,МОЙ ОТВЕТ НА ИНТЕРВЬЮ БАБИЧА TatarkaFM,"Sep 13, 2024",29,2,0.01,0,,29,0
xC3TgxeYrFY,ТЕЛЕГРАММ ДЕЛАЕТ СВОЙ ШОРТС🤯,"Sep 26, 2024",37,2,0.0016,0,,33,0
yZPXA-eMq8s,ПЕРЕГОВОРЫ МЕЖДУ УКРАИНОЙ И РОССИЕЙ УЖЕ НАЧАЛИСЬ!,"Feb 5, 2025",61,2,0.0069,0,,72,0
yuz37fJ6ubc,"ЕЁ ЖИЗНЬ ПОЛНОСТЬЮ ИЗМЕНИЛАСЬ🤯 Часть 1, Проду?","Aug 26, 2024",61,2,0.0018,0,0,28,0
0k3j2FwYNBg,Реальная история Девушки🤯,"Jan 28, 2025",63,1,0.002,0,,32,0
520HWw_vSSg,Вот это да🤯 Проду?,"Sep 2, 2024",60,1,0.0001,0,,28,0
6WizivFEiPA,"Телега в Шапке профиля, если было интересно!","Aug 28, 2024",52,1,0.0126,0,0,20,5
86bQfdinIBk,ТАК ВЫГЛЯДЕЛИ МУЖЧИНЫ ЗА ПОСЛЕДНИЕ 100 ЛЕТ🤯,"Sep 10, 2024",59,1,0.0015,0,0,31,0
AW4dY-KNuJ8,Невероятная мотивация🤯,"Aug 29, 2023",26,1,0.0001,0,,6,0
COUTXZd4IXA,Его посадили в Тюрьму в 🇰🇵 Продолжение на 3 тысячи подписчиков🤯,"Aug 30, 2024",61,1,0.0003,0,,21,0
DPzk-hC18NI,МОЙ ОТВЕТ НА ИНТЕРВЬЮ БАБИЧА TatarkaFM,"Sep 13, 2024",40,1,0.0002,0,,27,0
Gtx9KwrKD9U,Подписывайся на мой #shorts,"Aug 8, 2022",13,1,0.0017,0,,10,0
H2AetWdeDmE,МОЙ ОТВЕТ НА ИНТЕРВЬЮ БАБИЧА,"Sep 20, 2024",56,1,0.0043,0,,28,0
PrzEfgv12U0,Мысли на этот счет?🤯,"Aug 30, 2024",59,1,0.0003,0,,19,0
RN8udfI2t5k,Это было круто #shorts,"Aug 8, 2022",37,1,0.0006,0,,10,0
TOakQXHD0Lo,Эта девочка беременна🤯 Проду?,"Sep 2, 2024",60,1,0.0155,0,0,27,0
ZN6Qzy69Pfo,Делать продолжение этой истории?,"Sep 7, 2024",60,1,0.0013,0,,31,0
_ed1056UnOE,ИНТЕРЕСНАЯ ИСТОРИЯ🤯,"Jan 24, 2024",61,1,0,0,,15,0
aFHbmv6hqSg,МОЙ ОТВЕТ НА ИНТЕРВЬЮ БАБИЧА TATARKAFM,"Sep 13, 2024",42,1,0.0012,0,,27,0
ghSrIYBVx3M,Детство #shorts,"Aug 8, 2022",7,1,0.0004,0,,8,0
gjKBNKbwQjo,Разоблачение Dream Team,"Aug 22, 2023",29,1,0.0011,0,,9,0
gqUYt_ZPqsw,ПРОВЕРЬ НАСКОЛЬКО ТВОИ ГЛАЗА ЗДОРОВЫ🤯,"Aug 26, 2024",59,1,0.001,0,,24,0
k82YYBvxPhc,СПОРИМ? - ЭТО ВИДЕО ПРО ДИСЦИПЛИНУ УБЬЕТ ТВОЮ ЛЕНЬ!,"Aug 29, 2023",490,1,0.136,0,0.001,100,1
kZVHCclhDeE,НОВЫЕ ПОДРОБНОСТИ В СИТУАЦИИ С ПИДИДИ,"Sep 27, 2024",60,1,0.0156,,,29,0
lWSPpwHan4k,Вот это ум🤯,"Sep 23, 2024",60,1,0.0022,0,,28,0
o9SMvQnWX7E,ЧТО ПРОИСХОДИТ С ПИДИДИ?,"Sep 27, 2024",60,1,0.0007,,,29,0
pS7JjrU7Zxo,ЛЕГЕНДА #shorts,"Aug 8, 2022",25,1,0.0003,0,,7,0
pwGgqEzOZ1Y,МОЙ ОТВЕТ НА ИНТЕРВЬЮ БАБИЧА TatarkaFM,"Sep 13, 2024",44,1,0.0009,0,,29,0
qdFjiMcsbek,КАК ПОБОРОТЬ ЛЕНЬ🤯,"Aug 29, 2023",27,1,0.0003,0,,6,0
wh7yIkUgDAE,Разоблачение Dream Team,"Aug 22, 2023",31,1,0.0001,0,,21,0
y7nCRjhtxAs,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЕЖИ🔥,"Sep 7, 2023",33,1,0.0015,0,,13,0
yCX28BTQIeo,МОЙ ОТВЕТ БАБИЧУ,"Sep 19, 2024",51,1,0.0002,0,,27,0
7Tb5164t2KA,Вот это да🤯,"Sep 4, 2024",61,0,0,0,,24,0
8H3qieLftPY,Проду?🔥,"Aug 24, 2024",61,0,0,0,,16,0
Rdqqo2RI-rk,ПРОДУ?🤯,"Sep 24, 2024",56,0,0,0,,28,0
 -YIpSFnxdho,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЕЖИ🔥,"Sep 7, 2023",23,,,,,6,0
 -esjZhwO1jM,МОЩНО ОБ ОТНОШЕНИЯХ🔥,"Sep 3, 2023",30,,,,,6,0
0ChrEuF0YkQ,БЛОГЕР О МОТИВАЦИИ🔥,"Aug 29, 2023",29,,,,,7,0
0bcusPCVEgY,ОНА НЕ ОЖИДАЛА КОГО ОНА ВЫРАСТИТ🤯,"Sep 3, 2024",60,,,,,22,0
1Wv8ETLuFdo,МОЩНО ОБ ОТНОШЕНИЯХ🔥,"Sep 3, 2023",45,,,,,6,0
1vydknUyMN4,ПАВЕЛ ДУРОВ ЗАДЕРЖАН ВО ФРАНЦИИ🤯,"Aug 24, 2024",59,,,,,15,0
2iFzue63-w4,Блогер о работе🔥,"Aug 29, 2023",31,,,,,15,0
3TvDQjcSBms,ОН ВЗОРВАЛ ИНТЕРНЕТ🤯,"Sep 19, 2024",51,,,,,28,0
7050icMUcHI,ЭТА МОТИВАЦИЯ ПРОСТО 🔥,"Aug 29, 2023",28,,,,,6,0
7V1Pm5Czyvs,О МОТИВАЦИИ🔥,"Aug 29, 2023",31,,,,,6,0
CMZXsTE_yPo,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЁЖИ🔥,"Sep 7, 2023",27,,,,,9,0
Ck9NjsDsPvk,МОЩНО ОБ ОТНОШЕНИЯХ🔥,"Sep 2, 2023",25,,,,,6,0
Cv5h9t05Mw0,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЕЖИ🔥,"Sep 7, 2023",20,,,,,8,0
D5-ySe6gaOg,ХУДШИЕ ГОДЫ ДЛЯ ЖИЗНИ🤯,"Sep 9, 2024",60,,,,,28,0
G5OOr3PRjpM,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЕЖИ🔥,"Sep 7, 2023",30,,,,,17,0
I5SSYhK7zm8,МОЩНО ОБ ОТНОШЕНИЯХ🔥,"Sep 2, 2023",30,,,,,6,0
Jzstci2w2lE,МОЙ ОТВЕТ НА ИНТЕРВЬЮ БАБИЧА ТАТАРКАФМ,"Sep 13, 2024",33,,,,,29,0
KRdxzS1AyXo,КАК ВЛЮБИТЬ В СЕБЯ ДЕВУШКУ? 5 ПРОСТЫХ СОВЕТОВ,"Sep 2, 2023",459,,,,,98,0
MNEivqkOY0U,МОЩНО ОБ ОТНОШЕНИЯХ🔥,"Sep 3, 2023",32,,,,,6,0
NHEidb8DYnw,МОЩНО ОБ ОТНОШЕНИЯХ🔥,"Sep 2, 2023",29,,,,,6,0
Nsy5yTvNY7o,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЕЖИ🔥,"Sep 7, 2023",34,,,,,8,0
RjSRriam74E,МОЙ ОТВЕТ НА ИНТЕРВЬЮ БАБИЧА TatarkaFM,"Sep 13, 2024",49,,,,,28,0
TViCPPl0yzo,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЁЖИ🔥,"Sep 7, 2023",33,,,,,8,0
TbFOtxq_pGU,МОЩНО ОБ ОТНОШЕНИЯХ🔥,"Sep 2, 2023",16,,,,,6,0
USxYn3_7F_Y,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЕЖИ🔥,"Sep 7, 2023",28,,,,,8,0
ZbyNiKcIr-Y,МОЙ ОТВЕТ БАБИЧУ НА ЕГО ИНТЕРВЬЮ,"Sep 19, 2024",60,,,,,27,0
_pn35Fi9j1Q,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЕЖИ🔥,"Sep 7, 2023",31,,,,,10,0
alqhC9F8AWY,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЕЖИ🔥,"Sep 7, 2023",32,,,,,7,0
d25hSZgvh3w,БЛОГЕР О МОТИВАЦИИ🔥🔥,"Aug 29, 2023",31,,,,,6,0
dt1cOAJWO7w,ЭТИ БЛИЗНЕЦЫ ОТКАЗАЛИСЬ ОТ РАЗДЕЛЕНИЯ🤯,"Sep 3, 2024",60,,,,,25,0
eGaMkGE4e7E,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЕЖИ🔥,"Sep 7, 2023",25,,,,,8,0
eay4mr3SQ5k,БЛОГЕР О МОТИВАЦИИ🔥,"Aug 29, 2023",21,,,,,7,0
hQCGMTkFiRE,ПАРЕНЬ ПРОСТО КРАСАВЧИК,"Jan 24, 2024",32,,,,,17,0
hteMlpVAd4c,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЁЖИ🔥,"Sep 7, 2023",24,,,,,13,0
lY0WuvsBsec,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЁЖИ🔥,"Sep 7, 2023",21,,,,,9,0
nJpAaOhZn_A,БЛОГЕР О МОТИВАЦИИ🔥🔥,"Aug 29, 2023",31,,,,,6,0
qzYvGFcoD4w,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЁЖИ🔥,"Sep 7, 2023",33,,,,,11,0
uIzWj1jIH5s,БЛОГЕР О МОТИВАЦИИ🔥,"Aug 29, 2023",34,,,,,12,0
vTuTvLQfy-c,МОЙ ОТВЕТ НА ИНТЕРВЬЮ БАБИЧА TatarkaFM,"Sep 13, 2024",46,,,,,28,0
vYHNeO2NrnM,МОЩНО ОБ ОТНОШЕНИЯХ🔥,"Sep 3, 2023",32,,,,,6,0
w7ZVCcUcsqM,МОЩНО ОБ ОТНОШЕНИЯХ🔥,"Sep 2, 2023",32,,,,,6,0
wDtZdSUC530,МОЩНО ОБ ОТНОШЕНИЯХ🔥,"Sep 2, 2023",32,,,,,6,0
yNxUtGTq_Ww,ВАЖНЫЕ СЛОВА ДЛЯ МОЛОДЕЖИ🔥,"Sep 7, 2023",33,,,,,7,0
yabJeAgaF1M,МОЙ ОТВЕТ НА ИНТЕРВЬЮ!,"Sep 12, 2024",28,,,,,29,0
